dpt;reg_code;reg_nom;codgeo;tub;nb_indiv_foy;nb_indiv_foy18;tranche_age;sexe;sit_pro;CSP_prof;enfant_sco;etude;internaute;smartphone;smartphone_WIFI;WIP_frein_mobile1;WIP_frein_mobile2;WIP_frein_mobile3;Q14_Ordinateur;Q14_Tablette;Q14_Box;Q14_Console;Q14_TelFixe;Q14_Imp_Scanner;Q14_Television;equipement_travail_1;equipement_travail_2;equipement_travail_3;qui_aidePP;qui_aide2nd;qui_aide3rd;connai_EPN;do_courses;do_scolariT;do_RDVmed;do_banq;do_impots;do_CAF;do_CPAM;do_ANPE;freQ_do_courses;freQ_do_scolariT;freQ_do_RDVmed;freQ_do_banq;freQ_do_impots;freQ_do_CAF;freQ_do_CPAM;freQ_do_ANPE;privi_num_do_courses;privi_num_do_scolariT;privi_num_do_RDVmed;privi_num_do_banq;privi_num_do_ANPE;EmpoW_do_courses;EmpoW_do_scolariT;EmpoW_do_RDVmed;EmpoW_do_banq;EmpoW_do_impots;EmpoW_do_CAF;EmpoW_do_CPAM;EmpoW_do_ANPE;Arrange_do_courses;Arrange_do_scolariT;Arrange_do_RDVmed;Arrange_do_banq;Arrange_do_impots;Arrange_do_CAF;Arrange_do_CPAM;Arrange_do_ANPE;do_freQ_12m_actu;do_freQ_12m_coVOIT;do_freQ_12m_activiT;do_freQ_12m_bricoL;do_freQ_12m_teleW;do_freQ_12m_reunionPUB;do_freQ_12m_PETITION;utiliT_num_actu;utiliT_coVOIT;utiliT_activiT;utiliT_bricoL;utiliT_teleW;utiliT_reunionPUB;utiliT_PETITION;EmpoW_actu;EmpoW_coVOIT;EmpoW_activiT;EmpoW_bricoL;EmpoW_teleW;EmpoW_reunionPUB;EmpoW_PETITION;freQ_email;freQ_FB;freQ_infopratiQ;freQ_googler;freQ_wiki;freQ_jouer;freQ_partaGinfo;renonce_admin;renonce_video;renonce_jouer;renonce_telephoN;renonce_se_deplace;renonce_ou1;renonce_ou2;renonce_ou3;renonce_ou4;conso_jour_perso;conso_jour_pro;addict_sommeil;NI_util_int_avant;NI_cesse_int;NI_WIP_frein_ppl;NI_WIP_frein_2ndR;NI_WIP_frein_qui;NI_rate_Baffaire;NI_heureux;NI_hors_conversasion;NI_fier;NI_manqueinfo;NI_malaise;peur_info_perso;victiM_info_perso;peur_harcelemT;victiM_harcelemT;peur_fakeNEWS;victiM_fakeNEWS;peur_enfants;victiM_enfants;peur_isolemTsocial;espere_PA_handi;espere_hospi_dom;espere_diag_distance;espere_coordinTsoins;DMP;suivi_sante_num;certif_comp_num;certif_comp_num_quoi;mobilite;moyenT_ppL;moyenT_2ndR;moyenT_3rd;niveau_vie;revenu;lire;ecrire;handi;handi_admin;Gjaune_ppl;Gjaune_2nd;zri;pcs;nb_indiv_foy_agreg;etude_agreg;niveau_vie_agreg;Q14_Ordinateur_dicho;smartphone_dicho;Q14_Tablette_dicho;Q14_Box_dicho;zri_ech;poids_bzh_rpz_1500
22;53;Bretagne;22002;0-rurale;2;2;60 à 74 ans;Homme;retraite;Employes;Non;Brevet des collèges et en dessous;Oui;smart avec abo;Oui, dès que possible;;;;Oui,utilise;Non;oui;Non;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui et vous l'utilisez;;;; Vous demandez de l'aide à un proche (un ami, un membre de la famille, un voisin, un collègue de travail, etc) ;;;Non, mais vous avez déjà entendu parler de ce type de lieu;Vous l'avez fait vous même, seul-e;;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Au moins une fois par semaine;;Moins souvent;Au moins une fois par mois;Moins souvent;;Moins souvent;;J'évite le numérique;;Je ne le fais jamais via le numérique (le numérique n'entre pas en jeu);Je favorise le numérique;;Refus de répondre ou non concerné(e) (Ne pas citer);;Refus de répondre ou non concerné(e) (Ne pas citer);Avec le numérique c'est facile;Avec le numérique c'est facile;;Avec le numérique c'est facile;;;;;;;;;;Tous les jours ou presque;Moins souvent;Au moins une fois par semaine;Jamais ou NC;;Jamais ou NC;Moins souvent;Je le fais autant via le numérique que sans;J'évite le numérique;Je ne le fais jamais via le numérique (le numérique n'entre pas en jeu);;;;Je ne le fais jamais via le numérique (le numérique n'entre pas en jeu);Avec le numérique c'est facile;Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);;;;Refus de répondre ou non concerné(e) (Ne pas citer);Tous les jours ou presque;Moins souvent;Au moins une fois par mois;Au moins une fois par semaine;Au moins une fois par mois;Jamais ou non concerné par cette tâche [NC];Jamais ou non concerné par cette tâche [NC];bien;moyennement;bien;bien;Non;;;;;2 à 4 heures;;Jamais;;;;;;;;;;;;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Ne sait pas;Oui, mais vous ne l'avez pas créé;Non, je n'ai pas de problème de santé - NC;Non;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous avez une vie confortable;Entre 2901 et 4000;Tous les jours ou presque;Toutes les semaines ou presque; Non, pas d'handicap ;; Vous avez suivi dans les médias ;;1;7-Retraites;2;<BAC;vie confortable;oui;oui;non;oui;0;1,233
22;53;Bretagne;22003;0-rurale;1;1;45 à 59 ans;Homme;en emploi;Ouvriers;Non;Sans diplôme;Non;mobile simple;;;Vous ne vous sentez pas ou plus capable de maitriser les outils;;Non;Non;non;Non;Oui et vous l'utilisez;Non;Oui et vous l'utilisez;Non;Non;Non;;;;Non, vous n'avez jamais entendu parler de ce type de lieu;Vous l'avez fait vous même, seul-e;;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous ne le faites pas vous même, vous déléguez;Vous ne le faites pas vous même, vous déléguez;Vous ne le faites pas vous même, vous déléguez;Non, ce n'est pas quelque chose qui vous concerne;Au moins une fois par semaine;;Moins souvent;Au moins une fois par mois;;;;;;;;;;Avec le numérique, c'est difficile;;Avec le numérique, c'est difficile;Avec le numérique, c'est difficile;;;;;;;;;NSP ou Refus de répondre;NSP ou Refus de répondre;NSP ou Refus de répondre;;Moins souvent;Moins souvent;Jamais ou NC;Au moins une fois par semaine;Jamais ou NC;Jamais ou NC;Jamais ou NC;;;;;;;;Avec le numérique, c'est difficile;Avec le numérique, c'est difficile;;Avec le numérique, c'est difficile;;;;;;;;;;;;;;;;;;;;;;;Non;; Vous ne vous sentez pas ou plus capable de maitriser les outils ;;;Non c'est faux;Non c'est faux;Non c'est faux;Non c'est faux;Non c'est faux;Non c'est faux;Non;;Non;;Non;;Non;;Non;Non;Non;Non;Non;Non;Non, je n'ai pas de problème de santé - NC;;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous vous en sortez;NSP ou refus;Jamais;Jamais; Non, pas d'handicap ;; Vous avez suivi dans les médias ;;0;6-Ouvriers;1;<BAC;s'en sort;non;non;non;non;0;0,649
22;53;Bretagne;22004;1-tub 2000 a 4999 hab;4;2;30 à 44 ans;Femme;Inactif;Employes;Oui;Sans diplôme;Non;smart avec abo;Rarement;;;;Non;Non;oui;Non;Oui et vous l'utilisez;Non;Oui et vous l'utilisez;;;;;;;Non, vous n'avez jamais entendu parler de ce type de lieu;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Tous les jours ou presque;Tous les jours ou presque;Au moins une fois par mois;Au moins une fois par semaine;Moins souvent;NSP;Moins souvent;;;;;;;Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);;;;;;;;;;Jamais ou NC;Jamais ou NC;Jamais ou NC;Au moins une fois par mois;;Jamais ou NC;Jamais ou NC;;;;;;;;;;;Refus de répondre ou non concerné(e) (Ne pas citer);;;;;;;;;;;;;;;;;;;;;;;Non;; Vous ne vous sentez pas ou plus capable de maitriser les outils ;;;NSP;NSP;NSP;NSP;NSP;NSP;Non;;Non;;Non;;Non;;Non;Ne sait pas;Oui;Oui;Oui;Non;Non, je mesure sans numérique;;;Vous pouvez vous déplacer facilement; Marche à pied ;;;NSP;Moins de 1400;Plusieurs fois pas jour;Plusieurs fois pas jour; Non, pas d'handicap ;; Vous avez suivi dans les médias ;;0;5-Employes;4+;<BAC;s'en sort;non;oui;non;oui;0;1,344
22;53;Bretagne;22013;0-rurale;2;2;45 à 59 ans;Homme;en emploi;Employes;Non;CAP, BEP;Oui;smart avec abo;Rarement;;;;Oui,utilise;Non;oui;Non;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui;Oui;Oui; Vous demandez de l'aide à un proche (un ami, un membre de la famille, un voisin, un collègue de travail, etc) ;;;Oui, mais vous n'y êtes jamais allé;Vous l'avez fait vous même, seul-e;;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Au moins une fois par semaine;;Au moins une fois par semaine;Au moins une fois par mois;Moins souvent;Moins souvent;Moins souvent;;Je ne le fais jamais via le numérique (le numérique n'entre pas en jeu);;J'évite le numérique;Je favorise le numérique;;Avec le numérique, c'est difficile;;Avec le numérique c'est facile;Avec le numérique c'est facile;Avec le numérique c'est facile;Avec le numérique c'est facile;Avec le numérique c'est facile;;;;;;;;;;Jamais ou NC;Jamais ou NC;Au moins une fois par mois;Au moins une fois par mois;Jamais ou NC;Jamais ou NC;Jamais ou NC;;;Je le fais autant via le numérique que sans;Je le fais autant via le numérique que sans;;;;;;Avec le numérique, c'est difficile;Avec le numérique c'est facile;;;;Plusieurs fois par jour;Plusieurs fois par jour;Au moins une fois par semaine;Au moins une fois par semaine;Jamais ou non concerné par cette tâche [NC];Jamais ou non concerné par cette tâche [NC];Jamais ou non concerné par cette tâche [NC];moyennement;très mal;très mal;très mal;Non;;;;;Moins d'une heure;Moins d'une heure;Jamais;;;;;;;;;;;;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui, et vous avez créé le vôtre;Ne sait pas ou Refus de répondre;Non;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous avez une vie confortable;Plus de 4000;Toutes les semaines ou presque;Toutes les semaines ou presque; Non, pas d'handicap ;; Vous avez suivi les discussions de ce mouvement social sur les réseaux ; Vous avez suivi dans les médias ;0;5-Employes;2;<BAC;vie confortable;oui;oui;non;oui;0;0,649
22;53;Bretagne;22020;0-rurale;2;2;30 à 44 ans;Femme;en emploi;Prof interm;Non;Bac, brevet professionnel ou équivalent;Oui;smart avec abo;Oui, dès que possible;;;;Non;Non;oui;Oui et vous l'utilisez;Oui mais vous ne l'utilisez pas;Non;Oui et vous l'utilisez;Oui;Oui;Oui; Autre ;;;Non, mais vous avez déjà entendu parler de ce type de lieu;Vous ne le faites pas vous même, vous déléguez;;Non, ce n'est pas quelque chose qui vous concerne;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;;;;Au moins une fois par semaine;Moins souvent;;;;;;;Je favorise le numérique;;;;;Avec le numérique c'est facile;Avec le numérique c'est facile;;;;NSP ou Refus de répondre;;;;;;;;Au moins une fois par semaine;Jamais ou NC;Jamais ou NC;Au moins une fois par semaine;Jamais ou NC;Jamais ou NC;Jamais ou NC;Je le fais autant via le numérique que sans;;;Je le fais autant via le numérique que sans;;;;Avec le numérique, ça ne change rien;;;Avec le numérique c'est facile;;;;Au moins une fois par mois;Jamais ou non concerné par cette tâche [NC];Au moins une fois par semaine;Au moins une fois par semaine;Au moins une fois par semaine;Jamais ou non concerné par cette tâche [NC];Jamais ou non concerné par cette tâche [NC];bien;bien;ne sait pas, non concerné;moyennement;Oui; Je sors de mon domicile ;;;;Moins d'une heure;Plus de 4 heures;Jamais;;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non, je n'ai pas de problème de santé - NC;Non;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous vous en sortez;Entre 2901 et 4000;Tous les jours ou presque;Tous les jours ou presque; Non, pas d'handicap ;; Vous avez suivi les discussions de ce mouvement social sur les réseaux ;;1;4-Prof interm;2;BAC;s'en sort;non;oui;non;oui;0;1,232
22;53;Bretagne;22020;0-rurale;5;2;30 à 44 ans;Femme;en emploi;Cadres;Oui;Bac +3 ou +4;Oui;smart avec abo;Oui, dès que possible;;;;Oui,utilise;Non;oui;Oui mais vous ne l'utilisez pas;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui et vous l'utilisez;Non;Non;Oui; Vous demandez de l'aide à un proche (un ami, un membre de la famille, un voisin, un collègue de travail, etc) ;;;Oui, et vous y êtes déjà allé pour vous connecter;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Au moins une fois par semaine;Tous les jours ou presque;Au moins une fois par mois;Tous les jours ou presque;Moins souvent;Moins souvent;Moins souvent;;Je favorise le numérique;Je favorise le numérique;Je ne le fais jamais via le numérique (le numérique n'entre pas en jeu);Je favorise le numérique;;Avec le numérique c'est facile;Avec le numérique c'est facile;Refus de répondre ou non concerné(e) (Ne pas citer);Avec le numérique c'est facile;Avec le numérique c'est facile;Avec le numérique c'est facile;Avec le numérique c'est facile;;;;;;;;;;Tous les jours ou presque;Jamais ou NC;Jamais ou NC;Moins souvent;Jamais ou NC;Jamais ou NC;Moins souvent;Je le fais autant via le numérique que sans;;;Je favorise le numérique;;;Je favorise le numérique;Avec le numérique c'est facile;;;Avec le numérique c'est facile;;;Avec le numérique c'est facile;Plusieurs fois par jour;Au moins une fois par mois;Moins souvent;Tous les jours ou presque;Au moins une fois par mois;Plusieurs fois par jour;Plusieurs fois par jour;bien;moyennement;moyennement;moyennement;Oui; Autre ;;;;1 à 2 heures;Jamais;Jamais;;;;;;;;;;;;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;Oui;Ne sait pas;Oui;Non;Non;Oui, et vous avez créé le vôtre;Non, je mesure sans numérique;Non;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous avez une vie confortable;Plus de 4000;Plusieurs fois pas jour;Plusieurs fois pas jour; Non, pas d'handicap ;; Vous avez suivi dans les médias ;;1;3-Cadres;4+;BAC>2;vie confortable;oui;oui;non;oui;0;0,766
22;53;Bretagne;22023;0-rurale;5;3;45 à 59 ans;Femme;en emploi;Agri;Oui;Bac, brevet professionnel ou équivalent;Non;pas de tel;;Vous ne vous sentez pas ou plus capable de maitriser les outils;;;Oui, n'utilise pas;Non;oui;Oui mais vous ne l'utilisez pas;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui;Oui;Oui; NSP ;;;Non, vous n'avez jamais entendu parler de ce type de lieu;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous ne le faites pas vous même, vous déléguez;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Tous les jours ou presque;Moins souvent;Moins souvent;Au moins une fois par mois;;Au moins une fois par mois;Au moins une fois par mois;;;;;;;Avec le numérique c'est facile;Avec le numérique c'est facile;Refus de répondre ou non concerné(e) (Ne pas citer);Avec le numérique c'est facile;;Avec le numérique, c'est difficile;Avec le numérique, c'est difficile;;;;;;Ca vous arrange;;;;Tous les jours ou presque;Jamais ou NC;Jamais ou NC;Moins souvent;Moins souvent;Jamais ou NC;Jamais ou NC;;;;;;;;Refus de répondre ou non concerné(e) (Ne pas citer);;;Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);;;;;;;;;;;;;;;;;;;;;;Non;; Vous ne vous sentez pas ou plus capable de maitriser les outils ;;;NSP;NSP;NSP;NSP;NSP;NSP;Non;;Non;;Non;;Non;;Oui;Ne sait pas;Oui;Oui;Ne sait pas;Non;Non, je mesure sans numérique;;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous trouvez la vie difficile;Entre 1400 et 2000;Tous les jours ou presque;Toutes les semaines ou presque; Non, pas d'handicap ;; Vous avez suivi dans les médias ;;1;1-Agri;4+;BAC;vie difficile;oui;non;non;oui;0;0,719
22;53;Bretagne;22028;0-rurale;3;2;45 à 59 ans;Femme;en emploi;Cadres;Oui;Bac, brevet professionnel ou équivalent;Oui;smart avec abo;Oui, quand l'internet par la 3G ou 4G ne passe pas bien;;;;Oui,utilise;Oui et vous l'utilisez;oui;Non;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui;Oui;Oui; Vous contactez un service d'assistance informatique, votre revendeur, ... ;;;Non, vous n'avez jamais entendu parler de ce type de lieu;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;Au moins une fois par semaine;Tous les jours ou presque;Moins souvent;Au moins une fois par semaine;Moins souvent;;;;J'évite le numérique;Je le fais autant via le numérique que sans;J'évite le numérique;Je favorise le numérique;;Refus de répondre ou non concerné(e) (Ne pas citer);Avec le numérique c'est facile;Refus de répondre ou non concerné(e) (Ne pas citer);Avec le numérique c'est facile;Avec le numérique, ça ne change rien;;;;;;;;;;;;Tous les jours ou presque;Jamais ou NC;Jamais ou NC;Au moins une fois par mois;Jamais ou NC;Jamais ou NC;Moins souvent;J'évite le numérique;;;Je le fais autant via le numérique que sans;;;Je le fais autant via le numérique que sans;Avec le numérique, ça ne change rien;;;Avec le numérique c'est facile;;;Avec le numérique, ça ne change rien;Plusieurs fois par jour;Au moins une fois par semaine;Au moins une fois par semaine;Plusieurs fois par jour;Au moins une fois par semaine;Jamais ou non concerné par cette tâche [NC];Au moins une fois par mois;bien;moyennement;ne sait pas, non concerné;moyennement;Oui; Autre ;;;;Moins d'une heure;Plus de 4 heures;Jamais;;;;;;;;;;;;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Oui, mais vous ne l'avez pas créé;Non, je n'ai pas de problème de santé - NC;Non;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous vous en sortez;Entre 2901 et 4000;Tous les jours ou presque;Tous les jours ou presque; Non, pas d'handicap ;; Vous avez suivi dans les médias ;;0;3-Cadres;3;BAC;s'en sort;oui;oui;oui;oui;0;0,404
22;53;Bretagne;22028;0-rurale;5;2;30 à 44 ans;Femme;en emploi;Ouvriers;Oui;CAP, BEP;Oui;smart avec abo;Oui, quand l'internet par la 3G ou 4G ne passe pas bien;;;;Oui,utilise;Non;oui;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui et vous l'utilisez;Oui et vous l'utilisez;Non;Non;Non; A personne, vous vous débrouillez tout seul, avec internet notamment ;;;Oui, mais vous n'y êtes jamais allé;Vous l'avez fait vous même, seul-e;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;Vous ne le faites pas vous même, vous déléguez;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;Non, ce n'est pas quelque chose qui vous concerne;Au moins une fois par mois;;;;;;;;Je ne le fais jamais via le numérique (le numérique n'entre pas en jeu);;;;;Avec le numérique, ça ne change rien;;;;;;;;;;;;NSP ou Refus de répondre;;;;Tous les jours ou presque;Jamais ou NC;Jamais ou NC;Jamais ou NC;Jamais ou NC;Jamais ou NC;Jamais ou NC;Je favorise le numérique;;;;;;;Avec le numérique c'est facile;;;;;;;Au moins une fois par semaine;Plusieurs fois par jour;Au moins une fois par semaine;Au moins une fois par semaine;Tous les jours ou presque;Tous les jours ou presque;Tous les jours ou presque;mal;moyennement;bien;très bien;Non;;;;;Plus de 4 heures;Jamais;Jamais;;;;;;;;;;;;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Ne sait pas ou Refus de répondre;Non;;Vous pouvez vous déplacer facilement; Voiture, deux roues motorisées, y compris en covoiturage ;;;Vous trouvez la vie difficile;Entre 1400 et 2000;Tous les jours ou presque;Moins souvent; Non, pas d'handicap ;; Vous avez suivi les discussions de ce mouvement social sur les réseaux ; Vous avez suivi dans les médias ;0;6-Ouvriers;4+;<BAC;vie difficile;oui;oui;non;oui;0;1,14
22;53;Bretagne;22031;0-rurale;1;1;60 à 74 ans;Homme;retraite;Ouvriers;Non;CAP, BEP;Non;mobile simple;;;Autre;;Non;Non;oui;Non;Oui et vous l'utilisez;Oui mais vous ne l'utilisez pas;Oui et vous l'utilisez;;;; NSP ;;;Oui, mais vous n'y êtes jamais allé;Vous ne le faites pas vous même, vous déléguez;;Vous l'avez fait vous même, mais vous avez eu besoin d'être aidé;Vous ne le faites pas vous même, vous déléguez;Vous l'avez fait vous même, mais vous avez eu besoin d'être aidé;Vous ne le faites pas vous même, vous déléguez;Vous ne le faites pas vous même, vous déléguez;Non, ce n'est pas quelque chose qui vous concerne;;;Au moins une fois par mois;;Moins souvent;;;;;;;;;;;Refus de répondre ou non concerné(e) (Ne pas citer);;Refus de répondre ou non concerné(e) (Ne pas citer);;;;NSP ou Refus de répondre;;;NSP ou Refus de répondre;;NSP ou Refus de répondre;NSP ou Refus de répondre;;Au moins une fois par mois;Au moins une fois par mois;Au moins une fois par mois;Au moins une fois par mois;;Au moins une fois par mois;Au moins une fois par mois;;;;;;;;Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);;Refus de répondre ou non concerné(e) (Ne pas citer);Refus de répondre ou non concerné(e) (Ne pas citer);;;;;;;;;;;;;;;;;;;;Oui;De 1 à 5 ans; Autre ;;;Oui, c'est un peu vrai;Oui, c'est un peu vrai;Oui, c'est tout à fait vrai;Oui, c'est un peu vrai;Oui, c'est un peu vrai;Non c'est faux;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Ne sait pas;Non;Non;Non, je mesure sans numérique;Ne sait pas;;C'est souvent difficile pour vous de vous déplacer; Autre ;;;Vous vous en sortez;Entre 1400 et 2000;Moins souvent;Moins souvent; visuel ; moteur ; Vous avez suivi dans les médias ;;1;7-Retraites;1;<BAC;s'en sort;non;non;non;oui;0;1,233
